Cliente,Fecha,Importe,Estado,Nombre,Sexo,Zona
10321,2020-01-18 00:03:00,87665,Completado,Ana_331,F,Capital Federal
10321,2020-01-10 00:05:00,18702,Completado,Ana_331,F,Capital Federal
10321,2020-01-14 00:06:00,51499,Completado,Ana_331,F,Capital Federal
10321,2020-01-25 00:07:00,48703,Completado,Ana_331,F,Capital Federal
10321,2020-01-25 00:09:00,90106,Completado,Ana_331,F,Capital Federal
10321,2020-01-21 00:10:00,54792,Completado,Ana_331,F,Capital Federal
10419,2020-01-02 00:01:00,8208,Completado,Pedro_355,M,Capital Federal
10419,2020-01-08 00:02:00,6765,Completado,Pedro_355,M,Capital Federal
10419,2020-01-05 00:05:00,72601,Completado,Pedro_355,M,Capital Federal
10419,2020-01-26 00:05:00,85085,Completado,Pedro_355,M,Capital Federal
10419,2020-01-29 00:08:00,74792,Completado,Pedro_355,M,Capital Federal
10419,2020-01-18 00:11:00,86113,Completado,Pedro_355,M,Capital Federal
9028,2020-01-02 00:01:00,72987,Completado,Romina_7,F,Capital Federal
9028,2020-01-27 00:01:00,65134,Completado,Romina_7,F,Capital Federal
9028,2020-01-20 00:04:00,21459,Completado,Romina_7,F,Capital Federal
9028,2020-01-06 00:05:00,89908,Completado,Romina_7,F,Capital Federal
9028,2020-01-06 00:08:00,91794,Completado,Romina_7,F,Capital Federal
9028,2020-01-06 00:09:00,24897,Completado,Romina_7,F,Capital Federal
9028,2020-01-28 00:10:00,18492,Completado,Romina_7,F,Capital Federal
10054,2020-01-02 00:01:00,39691,Completado,Juan_264,M,Capital Federal
10054,2020-01-23 00:05:00,7721,Completado,Juan_264,M,Capital Federal
10054,2020-01-20 00:09:00,21136,Completado,Juan_264,M,Capital Federal
10054,2020-01-21 00:10:00,28889,Completado,Juan_264,M,Capital Federal
10054,2020-01-22 00:11:00,99477,Completado,Juan_264,M,Capital Federal
9441,2020-01-02 00:01:00,93118,Completado,Ana_111,F,Buenos Aires
9441,2020-01-14 00:06:00,71323,Completado,Ana_111,F,Buenos Aires
9864,2020-01-02 00:01:00,21246,Completado,Romina_216,F,Capital Federal
9864,2020-01-12 00:03:00,62116,Completado,Romina_216,F,Capital Federal
9864,2020-01-30 00:03:00,48359,Completado,Romina_216,F,Capital Federal
9864,2020-01-09 00:05:00,36484,Completado,Romina_216,F,Capital Federal
9864,2020-01-26 00:08:00,71429,Completado,Romina_216,F,Capital Federal
9864,2020-01-31 00:08:00,95467,Completado,Romina_216,F,Capital Federal
9864,2020-01-04 00:10:00,4523,Completado,Romina_216,F,Capital Federal
9864,2020-01-30 00:10:00,16596,Completado,Romina_216,F,Capital Federal
9864,2020-01-22 00:11:00,11147,Completado,Romina_216,F,Capital Federal
9985,2020-01-02 00:01:00,6993,Completado,Ana_247,F,Capital Federal
9985,2020-01-08 00:01:00,75984,Completado,Ana_247,F,Capital Federal
9985,2020-01-14 00:01:00,54253,Completado,Ana_247,F,Capital Federal
9985,2020-01-05 00:04:00,34603,Completado,Ana_247,F,Capital Federal
9985,2020-01-13 00:05:00,74061,Completado,Ana_247,F,Capital Federal
9985,2020-01-01 00:07:00,48216,Completado,Ana_247,F,Capital Federal
9985,2020-01-10 00:11:00,83488,Completado,Ana_247,F,Capital Federal
9604,2020-01-02 00:01:00,3032,Completado,Romina_151,F,Capital Federal
9604,2020-01-23 00:01:00,60491,Completado,Romina_151,F,Capital Federal
9604,2020-01-30 00:05:00,95430,Completado,Romina_151,F,Capital Federal
9604,2020-01-28 00:07:00,54530,Completado,Romina_151,F,Capital Federal
9604,2020-01-06 00:08:00,71107,Completado,Romina_151,F,Capital Federal
9604,2020-01-23 00:09:00,87185,Completado,Romina_151,F,Capital Federal
10363,2020-01-02 00:01:00,19560,Completado,Pedro_341,M,Capital Federal
10363,2020-01-09 00:11:00,29151,Completado,Pedro_341,M,Capital Federal
10576,2020-01-02 00:01:00,10484,Completado,Romina_394,F,Capital Federal
10576,2020-01-20 00:02:00,15598,Completado,Romina_394,F,Capital Federal
10576,2020-01-02 00:05:00,68816,Completado,Romina_394,F,Capital Federal
10576,2020-01-17 00:05:00,77357,Completado,Romina_394,F,Capital Federal
10576,2020-01-22 00:10:00,26190,Completado,Romina_394,F,Capital Federal
10576,2020-01-26 00:10:00,83129,Completado,Romina_394,F,Capital Federal
10576,2020-01-17 00:11:00,49175,Completado,Romina_394,F,Capital Federal
10333,2020-01-02 00:01:00,40111,Completado,Ana_334,F,Buenos Aires
10333,2020-01-04 00:01:00,69354,Completado,Ana_334,F,Buenos Aires
10333,2020-01-02 00:02:00,41449,Completado,Ana_334,F,Buenos Aires
10333,2020-01-10 00:04:00,59897,Completado,Ana_334,F,Buenos Aires
10333,2020-01-19 00:06:00,95689,Completado,Ana_334,F,Buenos Aires
10333,2020-01-16 00:07:00,32537,Completado,Ana_334,F,Buenos Aires
10333,2020-01-25 00:10:00,96240,Completado,Ana_334,F,Buenos Aires
9962,2020-01-02 00:01:00,39371,Completado,Juan_241,M,Capital Federal
9962,2020-01-28 00:01:00,41112,Completado,Juan_241,M,Capital Federal
9962,2020-01-14 00:02:00,28271,Completado,Juan_241,M,Capital Federal
9962,2020-01-25 00:04:00,65134,Completado,Juan_241,M,Capital Federal
9962,2020-01-28 00:07:00,39554,Completado,Juan_241,M,Capital Federal
9962,2020-01-08 00:11:00,80597,Completado,Juan_241,M,Capital Federal
9962,2020-01-12 00:11:00,86034,Completado,Juan_241,M,Capital Federal
10155,2020-01-02 00:01:00,61443,Completado,Pedro_289,M,Santa Fe
10155,2020-01-20 00:01:00,604,Completado,Pedro_289,M,Santa Fe
10155,2020-01-15 00:02:00,86886,Completado,Pedro_289,M,Santa Fe
10155,2020-01-05 00:03:00,18507,Completado,Pedro_289,M,Santa Fe
10236,2020-01-02 00:01:00,3522,Completado,Romina_309,F,Buenos Aires
10236,2020-01-13 00:06:00,16155,Completado,Romina_309,F,Buenos Aires
10236,2020-01-13 00:08:00,87705,Completado,Romina_309,F,Buenos Aires
10236,2020-01-14 00:09:00,91965,Completado,Romina_309,F,Buenos Aires
10099,2020-01-02 00:01:00,13423,Completado,Pedro_275,M,Capital Federal
10099,2020-01-05 00:03:00,84833,Completado,Pedro_275,M,Capital Federal
10099,2020-01-15 00:04:00,82964,Completado,Pedro_275,M,Capital Federal
10099,2020-01-08 00:06:00,64337,Completado,Pedro_275,M,Capital Federal
10099,2020-01-22 00:06:00,78920,Completado,Pedro_275,M,Capital Federal
10099,2020-01-21 00:07:00,40676,Completado,Pedro_275,M,Capital Federal
10159,2020-01-02 00:01:00,37159,Completado,Pedro_290,M,Capital Federal
10159,2020-01-06 00:01:00,92753,Completado,Pedro_290,M,Capital Federal
10159,2020-01-14 00:02:00,51627,Completado,Pedro_290,M,Capital Federal
10159,2020-01-05 00:04:00,89728,Completado,Pedro_290,M,Capital Federal
10159,2020-01-12 00:05:00,68040,Completado,Pedro_290,M,Capital Federal
10159,2020-01-20 00:05:00,21653,Completado,Pedro_290,M,Capital Federal
10159,2020-01-08 00:06:00,19250,Completado,Pedro_290,M,Capital Federal
10489,2020-01-02 00:01:00,16356,Completado,Ana_373,F,Buenos Aires
10489,2020-01-16 00:01:00,99544,Completado,Ana_373,F,Buenos Aires
10489,2020-01-01 00:05:00,87349,Completado,Ana_373,F,Buenos Aires
10489,2020-01-25 00:06:00,32568,Completado,Ana_373,F,Buenos Aires
10489,2020-01-29 00:07:00,49595,Completado,Ana_373,F,Buenos Aires
10489,2020-01-01 00:08:00,53839,Completado,Ana_373,F,Buenos Aires
10489,2020-01-15 00:10:00,23409,Completado,Ana_373,F,Buenos Aires
10489,2020-01-21 00:11:00,22335,Completado,Ana_373,F,Buenos Aires
10543,2020-01-03 00:01:00,8363,Completado,Pedro_386,M,Capital Federal
10543,2020-01-03 00:03:00,21431,Completado,Pedro_386,M,Capital Federal
9667,2020-01-03 00:01:00,15282,Completado,Pedro_167,M,Capital Federal
9667,2020-01-21 00:02:00,49619,Completado,Pedro_167,M,Capital Federal
9667,2020-01-29 00:02:00,6035,Completado,Pedro_167,M,Capital Federal
9667,2020-01-22 00:06:00,74177,Completado,Pedro_167,M,Capital Federal
9667,2020-01-24 00:06:00,11856,Completado,Pedro_167,M,Capital Federal
9667,2020-01-11 00:10:00,42064,Completado,Pedro_167,M,Capital Federal
9667,2020-01-13 00:10:00,59620,Completado,Pedro_167,M,Capital Federal
9528,2020-01-03 00:01:00,41471,Completado,Romina_132,F,Capital Federal
9528,2020-01-19 00:01:00,14865,Completado,Romina_132,F,Capital Federal
9528,2020-01-26 00:01:00,16831,Completado,Romina_132,F,Capital Federal
9603,2020-01-03 00:01:00,19712,Completado,Pedro_151,M,Buenos Aires
9603,2020-01-07 00:01:00,16885,Completado,Pedro_151,M,Buenos Aires
9603,2020-01-25 00:02:00,91962,Completado,Pedro_151,M,Buenos Aires
9015,2020-01-03 00:01:00,7556,Completado,Pedro_4,M,Capital Federal
9015,2020-01-07 00:06:00,39204,Completado,Pedro_4,M,Capital Federal
9015,2020-01-19 00:08:00,66877,Completado,Pedro_4,M,Capital Federal
9015,2020-01-28 00:08:00,61735,Completado,Pedro_4,M,Capital Federal
9015,2020-01-30 00:10:00,51238,Completado,Pedro_4,M,Capital Federal
9015,2020-01-05 00:12:00,1112,Completado,Pedro_4,M,Capital Federal
10060,2020-01-03 00:01:00,29631,Completado,Romina_265,F,Cordoba
10060,2020-01-06 00:06:00,52391,Completado,Romina_265,F,Cordoba
10060,2020-01-10 00:07:00,85176,Completado,Romina_265,F,Cordoba
10060,2020-01-13 00:07:00,6656,Completado,Romina_265,F,Cordoba
10060,2020-01-22 00:08:00,73946,Completado,Romina_265,F,Cordoba
10311,2020-01-03 00:01:00,79925,Completado,Pedro_328,M,Capital Federal
10311,2020-01-27 00:06:00,77420,Completado,Pedro_328,M,Capital Federal
10311,2020-01-16 00:10:00,13821,Completado,Pedro_328,M,Capital Federal
9272,2020-01-03 00:01:00,74664,Completado,Romina_68,F,Buenos Aires
9272,2020-01-26 00:01:00,7313,Completado,Romina_68,F,Buenos Aires
9272,2020-01-10 00:02:00,87337,Completado,Romina_68,F,Buenos Aires
9272,2020-01-01 00:03:00,85112,Completado,Romina_68,F,Buenos Aires
9272,2020-01-03 00:05:00,5226,Completado,Romina_68,F,Buenos Aires
9272,2020-01-19 00:06:00,4861,Completado,Romina_68,F,Buenos Aires
9272,2020-01-26 00:07:00,72077,Completado,Romina_68,F,Buenos Aires
9272,2020-01-04 00:08:00,50316,Completado,Romina_68,F,Buenos Aires
9102,2020-01-03 00:01:00,14679,Completado,Juan_26,M,Santa Fe
9102,2020-01-16 00:01:00,45329,Completado,Juan_26,M,Santa Fe
9102,2020-01-18 00:09:00,71518,Completado,Juan_26,M,Santa Fe
9102,2020-01-16 00:10:00,16672,Completado,Juan_26,M,Santa Fe
10150,2020-01-03 00:01:00,45435,Completado,Juan_288,M,Capital Federal
10150,2020-01-05 00:05:00,40503,Completado,Juan_288,M,Capital Federal
10150,2020-01-10 00:10:00,15087,Completado,Juan_288,M,Capital Federal
10592,2020-01-03 00:01:00,50888,Completado,Romina_398,F,Capital Federal
10592,2020-01-24 00:10:00,14783,Completado,Romina_398,F,Capital Federal
10592,2020-01-07 00:11:00,49999,Completado,Romina_398,F,Capital Federal
10592,2020-01-27 00:11:00,22454,Completado,Romina_398,F,Capital Federal
10592,2020-01-04 00:12:00,36292,Completado,Romina_398,F,Capital Federal
10473,2020-01-03 00:01:00,43144,Completado,Ana_369,F,Cordoba
10473,2020-01-24 00:09:00,60716,Completado,Ana_369,F,Cordoba
9110,2020-01-03 00:01:00,93407,Completado,Juan_28,M,Capital Federal
9110,2020-01-19 00:03:00,71095,Completado,Juan_28,M,Capital Federal
9002,2020-01-03 00:01:00,29038,Completado,Juan_1,M,Capital Federal
9002,2020-01-04 00:01:00,88113,Completado,Juan_1,M,Capital Federal
9002,2020-01-17 00:02:00,63579,Completado,Juan_1,M,Capital Federal
9002,2020-01-08 00:06:00,14600,Completado,Juan_1,M,Capital Federal
9002,2020-01-17 00:11:00,89345,Completado,Juan_1,M,Capital Federal
9002,2020-01-28 00:11:00,39389,Completado,Juan_1,M,Capital Federal
10604,2020-01-03 00:01:00,72844,Completado,Romina_401,F,Buenos Aires
10604,2020-01-15 00:01:00,87519,Completado,Romina_401,F,Buenos Aires
10604,2020-01-19 00:01:00,84124,Completado,Romina_401,F,Buenos Aires
10604,2020-01-22 00:03:00,53462,Completado,Romina_401,F,Buenos Aires
10604,2020-01-03 00:04:00,80904,Completado,Romina_401,F,Buenos Aires
9248,2020-01-03 00:01:00,98041,Completado,Romina_62,F,Capital Federal
9248,2020-01-18 00:02:00,22983,Completado,Romina_62,F,Capital Federal
9248,2020-01-13 00:06:00,71381,Completado,Romina_62,F,Capital Federal
9248,2020-01-21 00:06:00,37670,Completado,Romina_62,F,Capital Federal
9248,2020-01-18 00:10:00,862,Completado,Romina_62,F,Capital Federal
9248,2020-01-09 00:11:00,17981,Completado,Romina_62,F,Capital Federal
9432,2020-01-03 00:01:00,40117,Completado,Romina_108,F,Cordoba
9432,2020-01-08 00:08:00,49576,Completado,Romina_108,F,Cordoba
9432,2020-01-16 00:09:00,11518,Completado,Romina_108,F,Cordoba
9432,2020-01-12 00:11:00,63466,Completado,Romina_108,F,Cordoba
10069,2020-01-03 00:01:00,58522,Completado,Ana_268,F,Capital Federal
10069,2020-01-26 00:04:00,93297,Completado,Ana_268,F,Capital Federal
9368,2020-01-03 00:01:00,98418,Completado,Romina_92,F,Capital Federal
9368,2020-01-08 00:03:00,76410,Completado,Romina_92,F,Capital Federal
9368,2020-01-16 00:05:00,31153,Completado,Romina_92,F,Capital Federal
9368,2020-01-04 00:06:00,16012,Completado,Romina_92,F,Capital Federal
9368,2020-01-10 00:08:00,53444,Completado,Romina_92,F,Capital Federal
9368,2020-01-31 00:10:00,50489,Completado,Romina_92,F,Capital Federal
9235,2020-01-03 00:01:00,41239,Completado,Pedro_59,M,Capital Federal
9235,2020-01-11 00:02:00,97922,Completado,Pedro_59,M,Capital Federal
9235,2020-01-17 00:02:00,1964,Completado,Pedro_59,M,Capital Federal
9235,2020-01-21 00:05:00,92780,Completado,Pedro_59,M,Capital Federal
9235,2020-01-12 00:08:00,97353,Completado,Pedro_59,M,Capital Federal
10115,2020-01-04 00:01:00,26105,Completado,Pedro_279,M,Capital Federal
10115,2020-01-04 00:04:00,43625,Completado,Pedro_279,M,Capital Federal
10115,2020-01-04 00:07:00,10964,Completado,Pedro_279,M,Capital Federal
10115,2020-01-11 00:08:00,90778,Completado,Pedro_279,M,Capital Federal
10115,2020-01-09 00:10:00,33255,Completado,Pedro_279,M,Capital Federal
10115,2020-01-13 00:11:00,68600,Completado,Pedro_279,M,Capital Federal
9147,2020-01-04 00:01:00,21872,Completado,Pedro_37,M,Cordoba
9147,2020-01-18 00:04:00,16666,Completado,Pedro_37,M,Cordoba
9147,2020-01-04 00:05:00,14990,Completado,Pedro_37,M,Cordoba
9147,2020-01-27 00:05:00,74487,Completado,Pedro_37,M,Cordoba
9147,2020-01-03 00:06:00,77889,Completado,Pedro_37,M,Cordoba
9147,2020-01-17 00:09:00,64458,Completado,Pedro_37,M,Cordoba
9147,2020-01-11 00:10:00,87431,Completado,Pedro_37,M,Cordoba
9147,2020-01-27 00:10:00,37792,Completado,Pedro_37,M,Cordoba
9147,2020-01-17 00:11:00,41626,Completado,Pedro_37,M,Cordoba
9762,2020-01-04 00:01:00,89257,Completado,Juan_191,M,Cordoba
9762,2020-01-28 00:03:00,15416,Completado,Juan_191,M,Cordoba
9762,2020-01-05 00:11:00,81035,Completado,Juan_191,M,Cordoba
9717,2020-01-04 00:01:00,79824,Completado,Ana_180,F,Capital Federal
9717,2020-01-18 00:01:00,75163,Completado,Ana_180,F,Capital Federal
9717,2020-01-02 00:02:00,18154,Completado,Ana_180,F,Capital Federal
9717,2020-01-16 00:07:00,70200,Completado,Ana_180,F,Capital Federal
9717,2020-01-18 00:10:00,62718,Completado,Ana_180,F,Capital Federal
9717,2020-01-06 00:11:00,50340,Completado,Ana_180,F,Capital Federal
10270,2020-01-04 00:01:00,5986,Completado,Juan_318,M,Buenos Aires
10270,2020-01-24 00:04:00,1836,Completado,Juan_318,M,Buenos Aires
10270,2020-01-28 00:11:00,45201,Completado,Juan_318,M,Buenos Aires
10270,2020-01-02 00:12:00,36204,Completado,Juan_318,M,Buenos Aires
10635,2020-01-04 00:01:00,53806,Completado,Pedro_409,M,Buenos Aires
10635,2020-01-06 00:07:00,14856,Completado,Pedro_409,M,Buenos Aires
10635,2020-01-29 00:07:00,55580,Completado,Pedro_409,M,Buenos Aires
9343,2020-01-04 00:01:00,85751,Completado,Pedro_86,M,Buenos Aires
9343,2020-01-19 00:08:00,16055,Completado,Pedro_86,M,Buenos Aires
9343,2020-01-07 00:09:00,21200,Completado,Pedro_86,M,Buenos Aires
9343,2020-01-23 00:11:00,60731,Completado,Pedro_86,M,Buenos Aires
10254,2020-01-04 00:01:00,67623,Completado,Juan_314,M,Capital Federal
10254,2020-01-26 00:04:00,93547,Completado,Juan_314,M,Capital Federal
10254,2020-01-04 00:07:00,39140,Completado,Juan_314,M,Capital Federal
10254,2020-01-30 00:07:00,91499,Completado,Juan_314,M,Capital Federal
10254,2020-01-29 00:08:00,95862,Completado,Juan_314,M,Capital Federal
10254,2020-01-26 00:11:00,44109,Completado,Juan_314,M,Capital Federal
9003,2020-01-04 00:01:00,47699,Completado,Pedro_1,M,Capital Federal
9003,2020-01-07 00:04:00,8451,Completado,Pedro_1,M,Capital Federal
9003,2020-01-10 00:11:00,34436,Completado,Pedro_1,M,Capital Federal
9003,2020-01-14 00:11:00,363,Completado,Pedro_1,M,Capital Federal
9416,2020-01-04 00:01:00,15878,Completado,Romina_104,F,Buenos Aires
9416,2020-01-22 00:03:00,5031,Completado,Romina_104,F,Buenos Aires
10227,2020-01-04 00:01:00,55784,Completado,Pedro_307,M,Buenos Aires
10227,2020-01-14 00:02:00,71639,Completado,Pedro_307,M,Buenos Aires
10227,2020-01-16 00:04:00,83311,Completado,Pedro_307,M,Buenos Aires
10227,2020-01-09 00:05:00,41458,Completado,Pedro_307,M,Buenos Aires
10227,2020-01-06 00:12:00,88818,Completado,Pedro_307,M,Buenos Aires
9715,2020-01-04 00:01:00,22794,Completado,Pedro_179,M,Capital Federal
9715,2020-01-16 00:02:00,67629,Completado,Pedro_179,M,Capital Federal
9715,2020-01-16 00:04:00,2843,Completado,Pedro_179,M,Capital Federal
9715,2020-01-09 00:05:00,1346,Completado,Pedro_179,M,Capital Federal
9715,2020-01-17 00:07:00,83031,Completado,Pedro_179,M,Capital Federal
9715,2020-01-17 00:10:00,71353,Completado,Pedro_179,M,Capital Federal
9715,2020-01-27 00:10:00,55066,Completado,Pedro_179,M,Capital Federal
9715,2020-01-05 00:11:00,2694,Completado,Pedro_179,M,Capital Federal
9715,2020-01-12 00:11:00,75461,Completado,Pedro_179,M,Capital Federal
